ProfileID,GameID,RoundID,Token,Invest,Market2,Total,Fee,Fine,Paid,Total2,Seq1,Seq2,Seq3,Seq4,Received,Session,Treat,Homo,FF,Public,Gender,Age,GPA,Hour,MaxED,,,,,,,,
1360,3,13,60,42,101.85,119.85,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,23,3.3,0,10,,,,,,,,
1200,3,14,40,25,81.88,96.88,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,21,2.7,18,4,,,,,,,,
1220,3,14,40,34,111.35,117.35,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,22,2.9,0,0,,,,,,,,
1340,3,14,60,25,81.88,116.88,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,20,3.3,16,3,,,,,,,,
1360,3,14,60,25,81.88,116.88,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,23,3.3,0,10,,,,,,,,
1200,3,15,40,23,70.73,87.73,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,21,2.7,18,4,,,,,,,,
1220,3,15,40,34,104.55,110.55,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,22,2.9,0,0,,,,,,,,
1340,3,15,60,25,76.88,111.88,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,20,3.3,16,3,,,,,,,,
1360,3,15,60,35,107.63,132.63,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,23,3.3,0,10,,,,,,,,
1200,3,16,40,35,70,75,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,21,2.7,18,4,,,,,,,,
1220,3,16,40,35,70,75,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,22,2.9,0,0,,,,,,,,
1340,3,16,60,50,100,110,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,20,3.3,16,3,,,,,,,,
1360,3,16,60,40,80,100,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,23,3.3,0,10,,,,,,,,
1280,4,1,40,29,104.4,115.4,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,22,3.6,20,5,,,,,,,,
1350,4,1,40,21,75.6,94.6,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,21,2.9,0,3,,,,,,,,
1260,4,1,60,21,75.6,114.6,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,21,3.7,10,0,,,,,,,,
1290,4,1,60,25,90,125,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,22,3.8,10,1,,,,,,,,
1280,4,2,40,32,95.2,103.2,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,22,3.6,20,5,,,,,,,,
1350,4,2,40,29,86.28,97.28,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,21,2.9,0,3,,,,,,,,
1260,4,2,60,25,74.38,109.38,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,21,3.7,10,0,,,,,,,,
1290,4,2,60,35,104.13,129.13,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,22,3.8,10,1,,,,,,,,
